"","ID","Juliano","Edad","Tamaño","Pollos","Año","MediaCeldi"
"146","EMBUDO 2021",196,24,"Common-wasp","1","2021",378.169215675871
"147","EMBUDO 2021",197,25,"Common-wasp","1","2021",347.145988221672
"148","EMBUDO 2021",198,26,"Common-wasp","1","2021",364.424747816416
"149","FRAMIL 2018",205,24,"Asian-hornet","2","2018",127.234502470387
"150","FRAMIL 2018",205,24,"Common-wasp","2","2018",239.153740754523
"151","FRAMIL 2018",206,25,"Asian-hornet","2","2018",160.744824108678
"152","FRAMIL 2018",206,25,"Common-wasp","2","2018",243.08073157151
"153","FRAMIL 2018",207,26,"Asian-hornet","2","2018",133.517687777566
"154","FRAMIL 2018",207,26,"Common-wasp","2","2018",299.450899753536
"155","FRAMIL 2018",208,27,"Asian-hornet","2","2018",164.305295782746
"156","FRAMIL 2018",208,27,"Common-wasp","2","2018",452.38934211693
"157","FRAMIL 2018",209,28,"Asian-hornet","2","2018",177.499984927823
"158","FRAMIL 2018",209,28,"Common-wasp","2","2018",379.347312920968
"159","FRAMIL 2018",210,29,"Asian-hornet","2","2018",85.3466004225227
"160","FRAMIL 2018",210,29,"Common-wasp","2","2018",376.467519655177
"161","FRAMIL 2019",198,24,"Asian-hornet","2","2019",88.3572933822129
"162","FRAMIL 2019",198,24,"Common-wasp","2","2019",245.358386245363
"163","FRAMIL 2019",199,25,"Asian-hornet","2","2019",152.759942780804
"164","FRAMIL 2019",199,25,"Common-wasp","2","2019",305.676965194287
"165","FRAMIL 2019",200,26,"Asian-hornet","2","2019",39.2699081698724
"166","FRAMIL 2019",200,26,"Common-wasp","2","2019",90.1244392498572
"167","FRAMIL 2019",201,27,"Asian-hornet","2","2019",104.065256650162
"168","FRAMIL 2019",201,27,"Common-wasp","2","2019",210.643787423196
"169","FRAMIL 2019",202,28,"Common-wasp","2","2019",424.311357775471
"170","FRAMIL 2019",203,29,"Asian-hornet","2","2019",86.3937979737193
"171","FRAMIL 2019",203,29,"Common-wasp","2","2019",255.882721634889
"172","FRAMIL 2019",204,30,"Asian-hornet","2","2019",153.9380400259
"173","FRAMIL 2019",204,30,"Common-wasp","2","2019",296.252187233517
"174","FRAMIL 2019",205,31,"Asian-hornet","2","2019",83.5140047079287
"175","FRAMIL 2019",205,31,"Common-wasp","2","2019",284.117785609027
"176","FRAMIL 2019",206,32,"Common-wasp","2","2019",305.991124459646
"177","MATADERO 2020",193,19,"Common-wasp","1","2020",382.619805268457
"178","MATADERO 2020",194,20,"Common-wasp","1","2020",317.300858012569
"179","MATADERO 2020",195,21,"Common-wasp","1","2020",250.878613336671
"180","MATADERO 2020",196,22,"Asian-hornet","1","2020",86.786497055418
"181","MATADERO 2020",196,22,"Common-wasp","1","2020",182.997772071605
"182","MATADERO 2020",197,23,"Asian-hornet","1","2020",169.25330421215
"183","MATADERO 2020",197,23,"Common-wasp","1","2020",472.024296201866
"184","MATADERO 2020",198,24,"Common-wasp","1","2020",400.553063332699
"185","MATADERO 2020",199,25,"Asian-hornet","1","2020",76.9690200129499
"186","MATADERO 2020",200,26,"Common-wasp","1","2020",158.257729924586
"187","MATADERO 2020",201,27,"Asian-hornet","1","2020",173.180295029137
"188","MATADERO 2020",201,27,"Common-wasp","1","2020",317.497207553418
"189","MATADERO 2020",202,28,"Common-wasp","1","2020",435.895980685584
"190","MATADERO 2020",203,29,"Common-wasp","1","2020",303.163691071415
"191","MATADERO 2020",204,30,"Common-wasp","1","2020",454.352837525424
"192","MATADERO 2020",205,31,"Asian-hornet","1","2020",84.8230016469244
"193","MATADERO 2020",205,31,"Common-wasp","1","2020",375.943920879579
"194","MATADERO 2020",206,32,"Asian-hornet","1","2020",102.494460323367
"195","MATADERO 2020",206,32,"Common-wasp","1","2020",402.123859659494
"196","MATADERO 2020",207,33,"Common-wasp","1","2020",304.73448739821
"197","MATADERO 2020",208,34,"Asian-hornet","1","2020",149.696889943554
"198","MATADERO 2020",208,34,"Common-wasp","1","2020",245.633275602552
"199","MATADERO 2020",209,35,"Asian-hornet","1","2020",85.6083998103219
"200","MATADERO 2020",209,35,"Common-wasp","1","2020",376.991118430775
"201","MATADERO 2020",210,36,"Asian-hornet","1","2020",247.400421470196
"202","MATADERO 2020",210,36,"Common-wasp","1","2020",518.100988454517
"203","MATADERO 2020",211,37,"Common-wasp","1","2020",270.83146667822
"204","NAVALEXO 2020",192,19,"Common-wasp","2","2020",169.646003293849
"205","NAVALEXO 2020",193,20,"Asian-hornet","2","2020",161.399322578176
"206","NAVALEXO 2020",193,20,"Common-wasp","2","2020",416.889345131366
"207","NAVALEXO 2020",194,21,"Common-wasp","2","2020",278.816348006094
"208","NAVALEXO 2020",195,22,"Asian-hornet","2","2020",343.218997404685
"209","NAVALEXO 2020",195,22,"Common-wasp","2","2020",311.690871131159
"210","NAVALEXO 2020",196,23,"Asian-hornet","2","2020",258.985044380309
"211","NAVALEXO 2020",196,23,"Common-wasp","2","2020",199.294783962103
"212","NAVALEXO 2020",197,24,"Asian-hornet","2","2020",197.658537788358
"213","NAVALEXO 2020",197,24,"Common-wasp","2","2020",278.367549055581
"214","NAVALEXO 2020",198,25,"Asian-hornet","2","2020",150.011049208913
"215","NAVALEXO 2020",198,25,"Common-wasp","2","2020",462.861317628896
"216","NAVALEXO 2020",199,26,"Asian-hornet","2","2020",314.159265358979
"217","NAVALEXO 2020",199,26,"Common-wasp","2","2020",402.385659047293
"218","NAVALEXO 2020",200,27,"Asian-hornet","2","2020",143.335164820034
"219","NAVALEXO 2020",200,27,"Common-wasp","2","2020",540.746635499143
"220","NAVALEXO 2020",201,28,"Asian-hornet","2","2020",208.130513300324
"221","NAVALEXO 2020",201,28,"Common-wasp","2","2020",430.173794066545
"222","NAVALEXO 2020",202,29,"Asian-hornet","2","2020",238.761041672824
"223","NAVALEXO 2020",202,29,"Common-wasp","2","2020",815.50509299435
"224","NAVALEXO 2020",203,30,"Common-wasp","2","2020",301.069295969022
"225","NAVALEXO 2020",204,31,"Asian-hornet","2","2020",129.983396042278
"226","NAVALEXO 2020",204,31,"Common-wasp","2","2020",479.205079410072
"227","NAVALEXO 2020",205,32,"Common-wasp","2","2020",449.902247932838
"228","NAVALEXO 2020",206,33,"Common-wasp","2","2020",342.520865703887
"229","NAVALEXO 2020",207,34,"Asian-hornet","2","2020",133.517687777566
"230","NAVALEXO 2020",207,34,"Common-wasp","2","2020",385.944657493506
"231","NAVALEXO 2020",208,35,"Common-wasp","2","2020",499.513231920777
"232","NAVALEXO 2020",209,36,"Common-wasp","2","2020",567.842872136355
"233","NORES 2018",211,25,"Asian-hornet","1","2018",120.558618081508
"234","NORES 2018",212,26,"Asian-hornet","1","2018",128.805298797182
"235","NORES 2018",212,26,"Common-wasp","1","2018",411.286838232464
"236","NORES 2018",213,27,"Asian-hornet","1","2018",132.732289614169
"237","NORES 2018",213,27,"Common-wasp","1","2018",353.95277230445
"238","NORES 2018",214,28,"Common-wasp","1","2018",478.778720407085
"239","NORES 2018",216,30,"Asian-hornet","1","2018",63.6172512351933
"240","NORES 2018",217,31,"Asian-hornet","1","2018",132.732289614169
"241","NORES 2018",217,31,"Common-wasp","1","2018",267.82077371853
"242","NORES 2018",218,32,"Asian-hornet","1","2018",165.980811864661
"243","NORES 2018",218,32,"Common-wasp","1","2018",253.192732925252
"244","NORES 2018",219,33,"Asian-hornet","1","2018",182.997772071605
"245","NORES 2018",220,34,"Asian-hornet","1","2018",117.181405978899
"246","NORES 2018",220,34,"Common-wasp","1","2018",230.90706003885
"247","NORES 2018",221,35,"Asian-hornet","1","2018",96.2112750161874
"248","NORES 2018",222,36,"Asian-hornet","1","2018",108.123147161049
"249","NORES 2018",222,36,"Common-wasp","1","2018",471.238898038469
"250","OUTIL 2021",208,22,"Asian-hornet","2","2021",332.223423117121
"251","OUTIL 2021",209,23,"Asian-hornet","2","2021",399.244066393703
"252","OUTIL 2021",209,23,"Common-wasp","2","2021",349.633082405764
"253","OUTIL 2021",210,24,"Asian-hornet","2","2021",331.123865688364
"254","OUTIL 2021",210,24,"Common-wasp","2","2021",572.293461728941
"255","OUTIL 2021",211,25,"Asian-hornet","2","2021",190.85175370558
"256","OUTIL 2021",212,26,"Common-wasp","2","2021",269.705729310684
"257","OUTIL 2021",213,27,"Asian-hornet","2","2021",227.76546738526
"258","OUTIL 2021",213,27,"Common-wasp","2","2021",253.683606777376
"259","OUTIL 2021",214,28,"Asian-hornet","2","2021",328.296432300133
"260","OUTIL 2021",215,29,"Asian-hornet","2","2021",254.469004940773
"261","OUTIL 2021",215,29,"Common-wasp","2","2021",207.345115136926
"262","OUTIL 2021",216,30,"Asian-hornet","2","2021",264.875530605789
"263","OUTIL 2021",216,30,"Common-wasp","2","2021",541.532033662541
"264","OUTIL 2021",217,31,"Asian-hornet","2","2021",380.132711084365
"265","OUTIL 2021",217,31,"Common-wasp","2","2021",457.232630791214
"266","OUTIL 2021",218,32,"Asian-hornet","2","2021",329.34362985133
"267","OUTIL 2021",218,32,"Common-wasp","2","2021",439.692071808671
"268","OUTIL 2021",219,33,"Asian-hornet","2","2021",228.681765242557
"269","OUTIL 2021",219,33,"Common-wasp","2","2021",403.694655986288
"270","OUTIL 2021",220,34,"Asian-hornet","2","2021",179.856179418016
"271","OUTIL 2021",220,34,"Common-wasp","2","2021",559.988890502381
"272","OUTIL 2021",221,35,"Common-wasp","2","2021",357.748863427538
"273","OUTIL 2021",222,36,"Common-wasp","2","2021",288.110226272964
"274","OUTIL 2021",223,37,"Common-wasp","2","2021",205.98851830924
"275","OUTIL 2021",224,38,"Common-wasp","2","2021",234.609651380581
"276","OUTIL 2021",225,39,"Asian-hornet","2","2021",298.45130209103
"277","OUTIL 2021",225,39,"Common-wasp","2","2021",198.705735339554
"278","P. LIMENS 2018",199,17,"Asian-hornet","1","2018",122.260314102203
"279","P. LIMENS 2018",199,17,"Common-wasp","1","2018",439.822971502571
"280","P. LIMENS 2018",200,18,"Asian-hornet","1","2018",254.469004940773
"281","P. LIMENS 2018",201,19,"Asian-hornet","1","2018",223.838476568273
"282","P. LIMENS 2018",201,19,"Common-wasp","1","2018",404.087355067987
"283","P. LIMENS 2018",202,20,"Asian-hornet","1","2018",159.632176710531
"284","P. LIMENS 2018",203,21,"Asian-hornet","1","2018",81.4850594524853
"285","P. LIMENS 2018",204,22,"Asian-hornet","1","2018",144.316912524281
"286","P. LIMENS 2018",205,23,"Asian-hornet","1","2018",107.59954838545
"287","P. LIMENS 2018",205,23,"Common-wasp","1","2018",351.858377202057
"288","P. LIMENS 2018",206,24,"Asian-hornet","1","2018",201.061929829747
"289","P. LIMENS 2018",206,24,"Common-wasp","1","2018",353.429173528852
"290","P. LIMENS 2018",207,25,"Asian-hornet","1","2018",140.586271248143
"291","P. LIMENS 2018",208,26,"Asian-hornet","1","2018",115.453530019425
"292","P. LIMENS 2018",208,26,"Common-wasp","1","2018",472.809694365264
"293","P. LIMENS 2018",209,27,"Asian-hornet","1","2018",78.5398163397448
"294","P. LIMENS 2018",209,27,"Common-wasp","1","2018",450.556746402336
"295","P. LIMENS 2018",210,28,"Asian-hornet","1","2018",137.444678594553
"296","P. LIMENS 2018",210,28,"Common-wasp","1","2018",212.057504117311
"297","P. LIMENS 2018",211,29,"Asian-hornet","1","2018",37.6991118430775
"298","P. LIMENS 2018",211,29,"Common-wasp","1","2018",358.141562509236
"299","P. LIMENS 2018",212,30,"Asian-hornet","1","2018",166.504410640259
"300","P. LIMENS 2018",212,30,"Common-wasp","1","2018",363.770249346918
"301","P. LIMENS 2018",213,31,"Asian-hornet","1","2018",106.552350834254
"302","P. LIMENS 2018",213,31,"Common-wasp","1","2018",603.18578948924
"303","P. LIMENS 2018",214,32,"Asian-hornet","1","2018",121.736715326604
"304","P. LIMENS 2018",214,32,"Common-wasp","1","2018",452.38934211693
"305","P. LIMENS 2018",215,33,"Common-wasp","1","2018",329.867228626928
"306","P. LIMENS 2018",217,35,"Asian-hornet","1","2018",226.194671058465
"307","P. LIMENS 2018",217,35,"Common-wasp","1","2018",382.881604656256
"308","P. LIMENS 2018",218,36,"Asian-hornet","1","2018",105.243353895258
"309","P. LIMENS 2018",218,36,"Common-wasp","1","2018",289.026524130261
"310","P. LIMENS 2018",219,37,"Asian-hornet","1","2018",102.887159405066
"311","P. LIMENS 2018",219,37,"Common-wasp","1","2018",346.556939599124
"312","P. LIMENS 2018",220,38,"Common-wasp","1","2018",400.553063332699
"313","P. LIMENS 2018",221,39,"Common-wasp","1","2018",368.463938371031
"314","PGRANDE 2020",198,22,"Common-wasp","2","2020",303.949089234813
"315","PGRANDE 2020",199,23,"Asian-hornet","2","2020",215.5917958526
